Group,File Name,Size (Bytes),Path
Group 1,"voter id card dad.pdf",1260284,"/home/tahaur/Downloads/voter id card dad.pdf"
Group 1,"voter id card dad (1).pdf",1260284,"/home/tahaur/Downloads/voter id card dad (1).pdf"
Group 2,"Nazrul islam PAN .pdf",494048,"/home/tahaur/Downloads/Nazrul islam PAN .pdf"
Group 2,"Nazrul islam PAN  (1).pdf",494048,"/home/tahaur/Downloads/Nazrul islam PAN  (1).pdf"
